titulo;duracion;genero;year;rating;gross;directors;actors
Come Out Fighting;85 min;Action, Adventure, Drama            ;(2022);N/A;N/A;['>Steven Luke<', '>|<'];['>Dolph Lundgren<', '>Michael Jai White<', '>Kellan Lutz<', '>Tyrese Gibson<']
Bao ni ping an;112 min;Comedy, Drama            ;(2022);7.0;N/A;['>Chengpeng Dong<', '>|<'];['>Chengpeng Dong<', '>Xueqin Li<', '>Zheng Yin<', '>Xun Wang<']
Strange Love;N/A;Comedy            ;(2022);8.1;N/A;['>Carl Anthony Payne II<', '>|<'];['>Patrice Lovely<', '>Carl Anthony Payne II<', '>Erica Pinkett<', '>Michael Anthony<']
Neverland;85 min;Crime, Drama            ;(2022);5.4;N/A;['>Herbert Leota<', '>|<'];['>Bally Boy<', '>Manu Crooks<', '>Enzo<', '>Shanice Esther-Louise<']
This Is a Film About My Mother;N/A;Drama            ;(2022);N/A;N/A;['>Tess Harrison<', '>|<'];['>Joyce Chopra<', '>Tess Harrison<', '>Will Harrison<', '>Frankie Wagner<']
The Bay;N/A;Drama, Romance, War            ;(2022);N/A;N/A;['>Drasko Djurovic<', '>|<'];['>Marisa Berenson<', '>Adnan Haskovic<', '>Sebastian Cavazza<', '>Spela Rozin<']
Dark Asset;N/A;Action, Thriller            ;(2022);N/A;N/A;['>Michael Winnick<', '>|<'];['>Byron Mann<', '>Robert Patrick<', '>Helena Mattsson<', '>Shani Rigsbee<']
Lola 2;N/A;Drama, Sport            ;(2022);N/A;N/A;['>Antoine Allen<', '>|<'];['>Tamala Jones<', '>Elise Neal<', '>Torrei Hart<', '>Taja V. Simpson<']
Terror Train 2;88 min;Horror, Mystery            ;(2022);4.7;N/A;['>Philippe Gagnon<', '>|<'];['>Robyn Alomar<', '>Nadine Bhabha<', '>Nia Roam<', '>Romy Weltman<']
Alabama Rose;99 min;Thriller            ;(2022);N/A;N/A;['>Markiss McFadden<', '>|<'];['>Bryce Alakai<', '>Brett Benowitz<', '>Brett Blaylock<', '>Terry Bowden<']
Losmen Melati;92 min;Horror, Mystery            ;(2022);7.9;N/A;['>Mike Wiluan<', '>Billy Christian<', '>|<'];['>Alexandra Gottardo<', '>Fandy Christian<', '>Dwi Sasono<', '>Kiki Narendra<']
Escola de Quebrada;60 min;Comedy            ;(2022);7.3;N/A;['>Kaique Alves<', '>Thiago Eva<', '>|<'];['>Nina Baiocchi<', '>Jéssica Barbosa<', '>Erik Binho<', '>Rub Brown<']
Nightmare Radio: The Night Stalker;79 min;Horror            ;(2022);4.0;N/A;"['>Nathan Crooker<', '>Carlos Goitia<', '>David M. Night Maire<', '>Mia Kate Russell<', '>Ryan J. Thompson<', "">Adam O'Brien<"", '>|<']";['>Paula Brasca<', '>Agustin Olcese<', '>Valeria San Martin<', '>Michael Lorz<']
Ice Moon Rising;N/A;Sci-Fi            ;(2022);N/A;N/A;N/A;N/A
Night Blooms;98 min;Drama            ;(2022);5.6;N/A;['>Stephanie Joline<', '>|<'];['>Nick Stahl<', '>Jennie Raymond<', '>Jessica Clement<', '>Calem MacDonald<']
Hayride to Hell;91 min;Horror            ;(2022);7.2;N/A;['>Dan Lantz<', '>|<'];['>Bill Moseley<', '>Kane Hodder<', '>Graham Wolfe<', '>Allyson Malandra<']
Skinford: Death Sentence;N/A;Horror, Thriller            ;(2022);N/A;N/A;['>Nik Kacevski<', '>|<'];['>Joshua Brennan<', '>Charlotte Best<', '>Goran D. Kleut<', '>Roger Sciberras<']
The Cosmos Sisters;80 min;Comedy            ;(2022);3.4;N/A;['>Nora Kaye<', '>Whitney Uland<', '>|<'];['>Madeline Grey DeFreece<', '>Arielle Haller-Silverstone<', '>Nora Kaye<', '>Shelley Kuefner<']
The Dirty 3rd: Next Generation;N/A;Crime            ;(2022);6.9;N/A;['>Nahala Johnson<', '>|<'];['>Dakarai Akil<', '>Chico Bean<', '>Chico Bean<', '>Jaye Biggs<']
Escape from Love;84 min;Thriller            ;(2022);5.4;N/A;['>Stacia Crawford<', '>|<'];['>Yoshi Sudarso<', '>Sarah Borne<', '>Olivia Jordan<', '>Catherine Dyer<']
Sidemen Tinder in Real Life 4;50 min;Reality-TV            ;(2022);N/A;N/A;N/A;['>KSI<', '>Simon Minter<', '>Harry Lewis<', '>Vikram Barn<']
Snag;N/A;Romance            ;(2022);N/A;N/A;['>Jeanette Harrison<', '>|<'];['>Gonzalo Robles<', '>Kholan Studi<', '>Joseph Griego<', '>Erin Tripp<']
The Monster Mash;113 min;Horror            ;(2022);6.6;N/A;['>Kevin Losani<', '>Richard Terrasi<', '>|<'];['>Michael Gentile<', '>William Kozy<', '>Cherry Fu<', '>Justina Valentine<']
Operation Dagon;N/A;Action, Adventure, Fantasy            ;(2022);N/A;N/A;['>Ross W. Clarkson<', '>|<'];['>Cynthia Rothrock<', '>Adrian Bouchet<', '>Federico Castelluccio<', '>Conan Stevens<']
Papá al Rescate;100 min;Comedy, Drama            ;(2022);5.4;N/A;['>Marcos Carnevale<', '>|<'];['>Laurita Fernández<', '>Fernando Larraín<', '>Rodrigo Muñoz<', '>Benjamín Vicuña<']
Grandma;N/A;Drama, Horror, Thriller            ;(2022);N/A;N/A;['>Shijin Lal<', '>|<'];['>Sonia Agarwal<', '>Vimala Raman<', '>Charmila<', '>Hemanth Menon<']
Look Into the Fire;105 min;Thriller            ;(2022);4.7;N/A;['>Tim Morrill<', '>|<'];['>Gregg Henry<', '>Jackie Dallas<', '>Mateo Garcia<', '>Napoleon Highbrou<']
Cortafuegos;N/A;Thriller            ;(2022);N/A;N/A;['>Néstor F. Dennis<', '>|<'];['>Jose Coronado<', '>Carlos Bardem<', '>Pedro Casablanc<', '>Juan Fernández<']
Xanadu Hellfire;105 min;Fantasy            ;(2022);6.0;N/A;['>Justin Armao<', '>|<'];['>Macy Minear<', '>Aria Surrec<', '>Ryon Thomas<', '>Arianna America<']
Isin Asli;120 min;Romance            ;(2022);4.6;N/A;['>Mustafa Ugur Yagcioglu<', '>|<'];['>Elif Aksu<', '>Anil Altinoz<', '>Zafer Altun<', '>Banu Arica<']
Jericho Ridge;N/A;Action, Thriller            ;(2022);N/A;N/A;['>Will Gilbey<', '>|<'];['>Nikki Amuka-Bird<', '>Olivia Chenery<', '>Philipp Christopher<', '>Zachary Hart<']
Broken Circle;139 min;Fantasy, History, Music            ;(2022);7.7;N/A;['>Demetrios Katis<', '>|<'];['>Hristos Amvrazis<', '>Hristos Glykos<', '>Vagia Kofou<', '>Dimitris Maziotis<']
